Dynamite,Taio Cruz
Moves Like (Jagger),Maroon 5
Finesse,Bruno Mars
Sweet Caroline,Neil Diamond
Die with a Smile,Bruno Mars
Levitating,Dua Lipa
Only Girl (In the World),Rihanna
Semicharmed Life,Third Eye Blind
Gimme! Gimme! Gimme!,ABBA
Use Somebody,Kings of Leon
Could You Be Loved,Bob Marley And The Wailers
Never Too Much,Luther Vandross
Shake It Off,Taylor Swift
The Weight,The Band
Forget You,Cee Lo
Faith,George Michael
Folsom Prison Blues,Johnny Cash
I Gotta Feeling,Black Eyed Peas
Everybody Wants to Rule the World,Tears for Fears
Sexy Back,Justin Timberlake
Sledgehammer,Peter Gabriel
Let's Go Crazy,Prince and The Revolution
Sweet Home Alabama,Lynyrd Skynyrd
Don't Stop the Music,Rihanna
Viva La Vida,Coldplay
Ain't No Mountain High Enough,Diana Ross
We Are Family,Sister Sledge
Sugar,Maroon 5
Walking on Sunshine,Katrina and the Waves
APT,Rosé featuring Bruno Mars
Jolene,Dolly Parton
Rehab,Amy Winehouse
Crazy,Cee Lo
Oh What a Night,Frankie Valli
Teenage Dream,Katy Perry
Proud Mary,Tina Turner
Smells Like Teen Spirit,Nirvana
Party Rock Anthem,LMFAO
A Thousand Miles,Vanessa Carlton
Hold Yuh,Gyptian
Old Time Rock and Roll,Bob Seager and The Silver Bullet
I Will Survive,Gloria Gaynor
Superstition,Stevie Wonder
Party in the U.S.A.,Miley Cyrus
You Shook Me All Night Long,AC/DC
(I Can't Get No) Satisfaction,The Rolling Stones
Toxic,Britney Spears
Abey,Ray
Shut Up and Dance,Walk the Moon
Cold Heart,Elton John and Dua Lipa
Sex on Fire,Kings of Leon
Chicken Fried,Zac Brown Band
Purple Rain,Prince
Since U Been Gone,Kelly Clarkson
Let's Stay Together,Al Green
Pink Pony Club,Chappelle Roan
I Want You Back,Jackson 5
24K Magic,Bruno Mars
Crazy in Love,Beyonce
Don't You Want Me,Human League
Signed Sealed Delivered,Stevie Wonder
On the Floor,J.Lo
Billie Jean,Michael Jackson
Fly Like an Eagle,Steve Miller Band
Watermelon Sugar,Harry Styles
Cake by the Ocean,DNCE
9 to 5,Dolly Parton
Save A Horse Ride A Cowboy,Big and Rich
You Oughta Know,Alanis Morissette
Shape of You,Ed Sheeran
Dancing Queen,ABBA
Take On Me,A-ha
Love Shack,The B-52's
Bailando,Enrique Iglesias
Jump Around,House of Pain
Sorry,Justin Bieber
I Feel Good,James Brown
Please Don't Stop the Music,Rihanna
Give It to Me,Rick James
I Love It,Icona Pop
Despacito,Daddy Yankee
Man! I Feel Like a Woman!,Shania Twain
Rock with You,Michael Jackson
Hella Good,No Doubt
Juice,Lizzo
Mambo No. 5,Lou Bega
Lady Marmalade,Christina Aguilera
Treasure,Bruno Mars
Dancing in the Dark,Bruce Springsteen
Thinking Out Loud,Ed Sheeran
Holiday,Madonna
Hey Ray!,OutKast
Wagon Wheel,Darius Rucker
Cheap Thrills,Sia
Shake Your Body (Down To The Ground),Jackson 5
Wannabe,Spice Girls
Country Road,John Denver
Brown Eyed Girl,Van Morrison
Is This Love,Bob Marley And The Wailers
